#x|J0|Y0|j0|y0|J1|Y1|j1|y1|J2|Y2|j2|y2
6.3|0.223812|-0.225062|0.00266887|-0.158708|-0.208087|-0.24225|-0.158284|-0.0278606|-0.289871|0.148157|-0.0780422|0.145441
6.4|0.243311|-0.199949|0.0182108|-0.155185|-0.181638|-0.25956|-0.15234|-0.0424585|-0.300072|0.118836|-0.08962|0.135283
6.5|0.260095|-0.173242|0.0330954|-0.150244|-0.153841|-0.274091|-0.145153|-0.0562099|-0.30743|0.0889067|-0.100089|0.124301
6.6|0.274043|-0.145226|0.0472032|-0.143975|-0.12498|-0.285747|-0.136823|-0.0690176|-0.311916|0.0586361|-0.109395|0.112603
6.7|0.285065|-0.116191|0.0604254|-0.136475|-0.0953421|-0.294459|-0.127456|-0.0807948|-0.313525|0.0282928|-0.117495|0.100298
6.8|0.293096|-0.0864339|0.0726637|-0.127853|-0.0652187|-0.300187|-0.117167|-0.0914656|-0.312278|-0.00185639|-0.124355|0.0875001
6.9|0.298102|-0.0562537|0.0838318|-0.118221|-0.0349021|-0.302918|-0.106071|-0.100965|-0.308219|-0.0315485|-0.12995|0.0743231
7|0.300079|-0.0259497|0.0938552|-0.1077|-0.00468282|-0.302667|-0.0942924|-0.109241|-0.301417|-0.0605266|-0.134266|0.0608828
7.1|0.299051|0.00418179|0.102672|-0.096415|0.0251533|-0.299479|-0.0819542|-0.116251|-0.291966|-0.088542|-0.1373|0.0472948
7.2|0.295071|0.0338504|0.110232|-0.0844932|0.0543274|-0.293423|-0.0691833|-0.121967|-0.27998|-0.115357|-0.139058|0.0336737
7.3|0.288217|0.0627739|0.116498|-0.0720654|0.0825704|-0.284594|-0.0561068|-0.12637|-0.265595|-0.140745|-0.139556|0.0201325
7.4|0.278596|0.0906809|0.121447|-0.0592632|0.109625|-0.273115|-0.0428514|-0.129456|-0.248968|-0.164496|-0.138819|0.00678116
7.5|0.26634|0.117313|0.125067|-0.046218|0.135248|-0.259129|-0.0295425|-0.131229|-0.230273|-0.186414|-0.136884|-0.00627359
7.6|0.251602|0.142429|0.127358|-0.0330605|0.159214|-0.242801|-0.0163029|-0.131708|-0.209703|-0.206324|-0.133793|-0.0189295
7.7|0.234559|0.165802|0.128334|-0.0199187|0.181313|-0.224318|-0.00325199|-0.13092|-0.187465|-0.224066|-0.129601|-0.0310893
7.8|0.215408|0.187227|0.128018|-0.00691736|0.201357|-0.203885|0.00949525|-0.128905|-0.163778|-0.239505|-0.124366|-0.0426616
7.9|0.194362|0.206521|0.126448|0.00582305|0.219179|-0.181721|0.0218292|-0.125711|-0.138873|-0.252526|-0.118159|-0.0535615
8|0.171651|0.223521|0.12367|0.0181875|0.234636|-0.15806|0.0336462|-0.121396|-0.112992|-0.263037|-0.111052|-0.0637111
8.1|0.147517|0.238091|0.119739|0.0300672|0.247608|-0.133149|0.0448498|-0.116027|-0.0863797|-0.270968|-0.103128|-0.0730403
8.2|0.122215|0.250118|0.114723|0.0413603|0.257999|-0.107241|0.055351|-0.109679|-0.0592888|-0.276274|-0.0944729|-0.0814869
8.3|0.0960061|0.259515|0.108695|0.0519731|0.265739|-0.0805975|0.0650689|-0.102434|-0.0319725|-0.278936|-0.0851765|-0.0889973
8.4|0.0691573|0.266222|0.101738|0.0618201|0.270786|-0.0534845|0.0739317|-0.0943784|-0.00468434|-0.278956|-0.0753338|-0.0955267
8.5|0.0419393|0.270205|0.0939397|0.0708249|0.273122|-0.0261687|0.0818767|-0.0856073|0.0223247|-0.276362|-0.065042|-0.101039
8.6|0.014623|0.271458|0.085395|0.0789209|0.272755|0.00108399|0.0888506|-0.0762182|0.0488084|-0.271206|-0.0544006|-0.105509
8.7|-0.0125227|0.269999|0.0762034|0.0860513|0.269719|0.028011|0.0948103|-0.0663124|0.0745271|-0.26356|-0.0435101|-0.108918
8.8|-0.0392338|0.265875|0.0664679|0.0921697|0.264074|0.0543556|0.0997228|-0.055994|0.0992506|-0.253521|-0.0324714|-0.111259
8.9|-0.0652532|0.259156|0.0562945|0.0972399|0.255902|0.0798694|0.103565|-0.0453686|0.122759|-0.241208|-0.0213849|-0.112533
9|-0.0903336|0.249937|0.0457909|0.101237|0.245312|0.104315|0.106325|-0.0345424|0.144847|-0.226756|-0.0103494|-0.112751
9.1|-0.114239|0.238336|0.0350658|0.104145|0.232431|0.127466|0.107999|-0.0236212|0.165323|-0.210322|0.000538183|-0.111932
9.2|-0.136748|0.224494|0.0242272|0.105961|0.217409|0.149113|0.108595|-0.0127096|0.184011|-0.192078|0.0111841|-0.110106
9.3|-0.157655|0.20857|0.0133822|0.106691|0.200414|0.169061|0.10813|-0.00191006|0.200755|-0.172213|0.0214984|-0.107307
9.4|-0.176772|0.190744|0.00263568|0.10635|0.181632|0.187136|0.106631|0.00867818|0.215417|-0.150928|0.0313954|-0.103581
9.5|-0.193929|0.171211|-0.00791064|0.104965|0.161264|0.20318|0.104133|0.0189596|0.227879|-0.128436|0.0407947|-0.0989782
9.6|-0.208979|0.15018|-0.018159|0.102572|0.139525|0.217059|0.10068|0.0288436|0.238046|-0.10496|0.0496216|-0.093558
9.7|-0.221795|0.127875|-0.0280166|0.0992129|0.116639|0.22866|0.0963246|0.0382447|0.245845|-0.0807284|0.0578077|-0.0873846
9.8|-0.232276|0.104527|-0.0373958|0.0949415|0.0928401|0.237893|0.0911256|0.0470837|0.251223|-0.0559774|0.0652914|-0.0805281
9.9|-0.240341|0.0803773|-0.0462157|0.0898173|0.0683698|0.244692|0.085149|0.0552882|0.254153|-0.0309445|0.0720185|-0.0730633
10|-0.245936|0.0556712|-0.0544021|0.0839072|0.0434727|0.249015|0.0784669|0.0627928|0.25463|-0.00586808|0.0779422|-0.0650693
