1.13403e-11  0  0.4
3.40209e-11  0.05  0.45
7.93821e-11  0.1  0.5
1.58764e-10  0.15  0.45
3.28869e-10  0.24  0.46
6.57737e-10  0.464  0.536
1.31547e-09  0.503  0.497
2.64229e-09  0.505  0.495
5.29592e-09  0.531  0.469
1.06032e-08  0.526  0.474
2.12177e-08  0.539  0.461
4.24354e-08  0.567  0.433
8.48821e-08  0.597  0.403
1.69776e-07  0.636  0.364
3.39563e-07  0.684  0.316
6.79137e-07  0.719  0.281
1.35828e-06  0.757  0.243
2.71658e-06  0.77  0.23
5.43316e-06  0.767  0.233
1.08663e-05  0.779  0.221
2.17327e-05  0.804  0.196
4.34653e-05  0.832  0.168
8.69307e-05  0.833  0.167
0.000173861  0.822  0.178
0.000347723  0.831  0.169
0.000695445  0.837  0.163
0.00139089  0.853  0.147
0.00278178  0.832  0.168
0.0031  0.826  0.174
